,NUMBER,NAME,Latitude,Longitude,ALTITUDE,COUNTRY,REGION,PROVINCE,CANTON,DISTRICT,USE DATA,Jan_High,Feb_High,Mar_High,Apr_High,May_High,Jun_High,Jul_High,Aug_High,Sep_High,Oct_High,Nov_High,Dec_High,Jan_Mean,Feb_Mean,Mar_Mean,Apr_Mean,May_Mean,Jun_Mean,Jul_Mean,Aug_Mean,Sep_Mean,Oct_Mean,Nov_Mean,Dec_Mean,Jan_Low,Feb_Low,Mar_Low,Apr_Low,May_Low,Jun_Low,Jul_Low,Aug_Low,Sep_Low,Oct_Low,Nov_Low,Dec_Low,Jan_Rainfall,Feb_Rainfall,Mar_Rainfall,Apr_Rainfall,May_Rainfall,Jun_Rainfall,Jul_Rainfall,Aug_Rainfall,Sep_Rainfall,Oct_Rainfall,Nov_Rainfall,Dec_Rainfall,Avg_High,Avg_Mean,Avg_Low,Annual_Rainfall
32,76055.0,"Hda. mojica,",10.45278,-85.16528,33.0,Costa rica,North pacific,Guanacaste,Bagaces,Bagaces,Bagaces,34.0,35.0,36.0,36.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,28.0,29.0,29.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,1.6,1.6,2.8,15.9,94.3,114.9,74.1,109.0,170.9,164.1,61.3,11.4,33.583333333333336,28.166666666666668,24.416666666666668,821.9
33,76059.0,"Hda. taboga, cañas",10.34583,-85.1775,29.0,Costa rica,North pacific,Guanacaste,Cañas,Cañas,Cañas,34.0,35.0,36.0,36.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,28.0,29.0,29.0,30.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,28.0,24.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,1.9,2.0,3.1,17.3,92.8,110.6,72.2,106.8,165.8,159.5,61.9,12.0,33.583333333333336,28.166666666666668,24.416666666666668,805.9
34,76061.0,"Palo alto, montezuma,",10.6647,-85.08023,469.0,Costa rica,North pacific,Guanacaste,Bagaces,Rio naranjo,Bijagua de upala,30.0,31.0,32.0,32.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0,29.0,25.0,25.0,26.0,26.0,26.0,25.0,25.0,25.0,24.0,24.0,24.0,24.0,21.0,20.0,21.0,21.0,22.0,21.0,22.0,21.0,21.0,21.0,21.0,21.0,1.9,2.1,3.1,16.4,89.1,106.9,69.1,102.4,161.1,155.1,59.0,11.5,30.083333333333332,24.916666666666668,21.083333333333332,777.7
35,78006.0,Miramar,10.09333,-84.73472,450.0,Costa rica,North pacific,Puntarenas,,,Miramar,32.0,33.0,34.0,34.0,32.0,31.0,31.0,31.0,31.0,30.0,30.0,31.0,27.0,27.0,28.0,28.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,5.4,4.6,5.1,25.2,100.1,116.7,82.1,112.4,162.5,159.5,73.3,19.5,31.666666666666668,26.75,23.416666666666668,866.3999999999999
36,78027.0,"Puntarenas,",9.97222,-84.83096,3.0,Costa rica,North pacific,Puntarenas,,,Puntarenas,34.0,35.0,36.0,35.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0,29.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,29.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,4.0,3.6,4.2,23.3,99.9,116.8,81.4,112.6,165.5,161.4,71.1,17.2,33.5,29.0,25.833333333333332,861.0000000000001
37,78031.0,"San gerardo, chomes.",10.11253,-84.89606,100.0,Costa rica,North pacific,Puntarenas,,,Miramar,32.0,33.0,34.0,34.0,32.0,31.0,31.0,31.0,31.0,30.0,30.0,31.0,27.0,27.0,28.0,28.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,5.4,4.6,5.1,25.2,100.1,116.7,82.1,112.4,162.5,159.5,73.3,19.5,31.666666666666668,26.75,23.416666666666668,866.3999999999999
38,80013.0,"San miguelito de barranca, puntarenas",9.99989,-84.70297,120.0,Costa rica,North pacific,Puntarenas,,,San miguelito,25.0,25.0,26.0,26.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,20.0,20.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,29.2,21.8,18.1,50.2,124.8,144.0,124.4,136.2,158.0,165.2,115.9,58.7,24.666666666666668,20.083333333333332,17.0,1146.5000000000002
39,82001.0,Guadalupe de esparza,10.00722,-84.57167,400.0,Costa rica,North pacific,Puntarenas,,,Guadalupe,25.0,26.0,27.0,27.0,26.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,29.8,22.0,18.0,49.3,122.8,141.8,121.5,133.6,156.0,163.6,114.1,58.5,25.416666666666668,20.5,17.333333333333332,1131.0
40,82013.0,"La trinidad vieja, abopac",9.895,-84.64564,133.0,Costa rica,North pacific,Alajuela,Orotina,Orotina,Orotina,33.0,34.0,34.0,34.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,28.0,28.0,29.0,29.0,28.0,27.0,27.0,27.0,26.0,26.0,27.0,27.0,24.0,24.0,25.0,25.0,25.0,24.0,25.0,24.0,24.0,24.0,24.0,24.0,9.5,7.4,7.7,33.0,109.8,126.8,95.4,121.8,164.1,164.4,86.3,28.4,32.333333333333336,27.416666666666668,24.333333333333332,954.5999999999999
41,94015.0,Arunachala,9.40992,-83.83222,1012.0,Costa rica,South pacific,San jose,Perez zeledon,San isidro,San isidro,28.0,29.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,44.5,32.7,28.4,69.6,149.8,169.4,162.1,165.5,169.6,178.2,152.0,84.4,27.666666666666668,23.416666666666668,20.833333333333332,1406.2
42,98075.0,"Las brisas, sabalito",8.88,-82.89417,1040.0,Costa rica,South pacific,Puntarenas,Coto brus,San vito,San vito,26.0,27.0,27.0,27.0,25.0,25.0,24.0,24.0,24.0,24.0,24.0,25.0,21.0,22.0,22.0,22.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,16.0,16.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,37.9,24.7,25.6,71.6,169.5,192.2,189.8,200.8,201.0,206.6,179.8,82.6,25.166666666666668,20.75,16.916666666666668,1582.0999999999997
43,98087.0,Pindeco,9.14694,-83.335,397.0,Costa rica,South pacific,Puntarenas,Buenos aires,Buenos aires,Buenos aires,30.0,31.0,31.0,31.0,30.0,29.0,29.0,29.0,29.0,28.0,28.0,29.0,25.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,43.8,31.4,28.1,71.0,156.9,178.2,172.8,178.9,181.0,188.2,162.9,85.2,29.5,25.25,22.333333333333332,1478.4
